"Data from Open Data/DOT as of Summer 2021*
Some Open Streets have been Combined in this analysis",,,,,Transportation Alternatives' Data,,,,,,ACS 2014-2018 US Census Data,,,,,,,,,,,,,,,,,,,,,,,Data from Open Data/DOT,,,,,,,,,,,,,,,,
Brooklyn,Stanley Avenue,Schenck Avenue,Ashford Street,East New York,"726 Stanley Ave, Brooklyn, NY 11207",1.0,0%,0%,Non-operational,,"27,525","5,519","22,006",563,"20,595",51,119,0,388,290,"10,539","2,045",991,"1,210","1,046","1,308","1,671",961,914,233,160,"$34,696","$48,605",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,State Street,Nevins Street,Smith Street,Boerum Hill Association,"409 State St, Brooklyn, NY 11217",6.1,0%,30%,Active,"1,978.84","50,558","7,971","42,587","24,885","9,565",0,"5,744",48,347,"1,998","22,217","1,672",575,"1,281","1,100","1,390","1,929","1,929","3,827","2,800","5,714","$114,631","$162,829",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,State Street,Willow Place,Columbia Place,Willowtown Association,"42 Willow Pl, Brooklyn, NY 11201",5.0,0%,33%,Active,192.82,"29,593","2,281","27,312","21,301","1,584",0,"2,885",27,78,"1,437","13,285",519,346,288,517,617,"1,008","1,071","2,375","1,842","4,702","$147,786","$222,555",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Suydam Street,Knickerbocker Avenue,Irving Avenue,Maria Hernandez Park,"264 Suydam St, Brooklyn, NY 11237",1.5,0%,0%,Non-operational,,"39,066","23,480","15,586","9,508","2,202",64,"2,936",4,256,616,"13,517","1,154",966,"1,364","1,260","1,559","1,950","1,685","2,092",887,600,"$55,416","$73,780",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Tompkins Avenue,Gates Avenue,Halsey Street,Bridge Street Development Corp.,"555 Gates Ave, Brooklyn, NY 11221",10.0,50%,100%,Active,"1,562.88","35,393","5,191","30,202","6,756","21,436",28,892,3,91,996,"14,636","1,905",800,"1,459","1,172","1,292","2,231","1,671","1,953","1,095","1,058","$56,565","$81,451",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00 AM,8:00 PM,U,
Brooklyn,Troutman Street,Irving Avenue,St. Nicholas Avenue,Bushwick,"45 Irving Ave Unit 1, Brooklyn, NY 11237",3.0,0%,0%,Non-operational,,"23,283","13,627","9,656","5,509","2,385",61,"1,222",4,80,395,"7,870",855,542,839,832,877,"1,070",849,"1,111",540,355,"$49,834","$70,230",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Underhill Avenue,St. Johns Place,Atlantic Avenue,"Prospect Heights Neighborhood Development Council, Inc.","176 Underhill Ave, Brooklyn, NY 11238",5.7,0%,14%,Active,"2,460.98","36,978","3,645","33,333","19,250","9,556",39,"2,506",0,223,"1,759","16,630","1,196",540,752,761,"1,205","1,804","2,251","2,959","1,935","3,227","$97,845","$134,751",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,4:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Brooklyn,Van Siclen Avenue,Pitkin Avenue,Glenmore Avenue,Poppa & Momma Jones' Historic Community Garden,"2222 Pitkin Ave, Brooklyn, NY 11207",1.0,0%,0%,Non-operational,,"22,510","7,564","14,946",482,"13,500",56,202,44,275,387,"7,909","1,714",619,887,844,"1,039","1,064",724,627,214,177,"$33,907","$50,168",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,12:00 PM,3:00 PM,12:00 PM,3:00 PM,12:00 PM,3:00 PM,N/A,N/A,"R,F,S",
Brooklyn,Vanderbilt Avenue,Atlantic Avenue,Park Place,"Prospect Heights Neighborhood Development Council, Inc.","516 Vanderbilt Ave, Brooklyn, NY 11238",9.0,91%,100%,Active,"1,778.41","32,637","3,430","29,207","17,714","7,364",17,"2,307",0,208,"1,597","14,322",768,592,691,704,896,"1,420","1,942","2,565","1,660","3,084","$102,888","$145,678",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,11:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,"F,S,U",
Brooklyn,Washington Street,Front Street,Water Street,DUMBO Business Improvement District,"79 Front St, Brooklyn, NY 11201",6.3,0%,0%,Non-operational,,"16,185","2,404","13,781","7,907","3,109",32,"1,918",0,13,802,"6,988",494,303,650,372,387,669,761,881,695,"1,776","$95,335","$157,961",Temporary Full Closure,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,ALL,
Brooklyn,West 9th Street,Henry Street,Hicks Street,Red Hook Initiative,"59 W 9th St, Brooklyn, NY 11231",1.0,67%,67%,Active,215.08,"11,053","3,953","7,100","2,041","4,020",0,471,268,166,134,"4,617","1,134",699,477,404,514,450,175,328,213,223,"$24,971","$54,875",Temporary Limited Local Access,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,N/A,N/A,"M,T,W,R,F,S",
Brooklyn,Williams Avenue,Liberty Avenue,Atlantic Avenue,Brownsville,"100 Williams Ave # 1, Brooklyn, NY 11207",2.0,0%,100%,Non-operational,,"16,671","6,884","9,787",528,"8,791",12,271,0,35,150,"4,458","1,100",414,541,506,425,547,398,267,174,86,"$28,199","$46,318",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Willoughby Avenue,Washington Park Street,Hall Street,Fort Greene,"19 Willoughby Ave, Brooklyn, NY 11205",8.8,58%,89%,Active,"2,170.00","32,052","4,753","27,299","13,045","10,555",32,"2,559",8,90,"1,010","13,585","1,202",650,835,846,"1,181","1,992","1,674","2,307","1,166","1,732","$76,292","$105,718",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Willow Place,Joralemon Street,State Street,Willowtown Association,"53 Joralemon St, Brooklyn, NY 11201",4.0,0%,0%,Non-operational,,"17,926","1,347","16,579","13,313",821,0,"1,539",10,44,852,"7,955",325,252,210,367,385,516,608,"1,487","1,125","2,680","$143,952","$227,335",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Willoughby Street,Pearl Street,Jay Street,Downtown Brooklyn Partnership,"25 Willoughby St, Brooklyn, NY 11201",5.0,0%,0%,Active,563.00,"23,898","3,268","20,630","13,042","2,995",0,"3,390",48,110,"1,045","11,397",815,294,536,349,737,887,961,"2,026","1,657","3,135","$124,295","$172,152",Temporary Limited Local Access,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,ALL,
Brooklyn,Willow Street,Middagh Street,Pierrepont Street,Brooklyn Heights,"26 Willow St, Brooklyn, NY 11201",4.0,0%,0%,Non-operational,,"24,168","1,770","22,398","17,538","1,400",32,"2,236",10,37,"1,145","11,338",402,296,446,469,610,899,"1,231","1,781","1,570","3,634","$135,414","$215,829",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Wolcott Street,Conover Street,Van Brunt Street,Good Shepard Services,"132 Wolcott St, Brooklyn, NY 11231",2.3,0%,0%,Non-operational,,"11,053","3,953","7,100","2,041","4,020",0,471,268,166,134,"4,617","1,134",699,477,404,514,450,175,328,213,223,"$24,971","$54,875",Temporary Limited Local Access,N/A,N/A,10:00 AM,3:00 PM,N/A,N/A,10:00 AM,3:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,"T,R",
Brooklyn,Wyckoff Street,Hoyt Street,4th Avenue,Boerum Hill Association,"160 Wyckoff St, Brooklyn, NY 11217",4.6,0%,22%,Active,"1,903.62","40,218","7,908","32,310","21,776","6,076",0,"2,788",37,314,"1,319","16,733","1,067",358,"1,127","1,028","1,027","1,531","1,691","2,814","1,805","4,285","$108,489","$166,994",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,"F,S,U",
Manhattan,9th Avenue,West 14th Street,West 15th Street,Meatpacking Business Improvement District,"61 9th Ave, New York, NY 10011",10.0,100%,100%,Active,235.77,"40,430","5,435","34,995","28,471","1,824",0,"3,477",0,165,"1,058","23,209","1,767",823,"1,150","1,030",868,"2,176","1,908","3,202","2,934","7,351","$127,544","$207,750",Temporary Full Closure,10:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,ALL,
Manhattan,Academy Street,Vermilyea Avenue,Broadway,Community League of the Heights,"650 Academy St, New York, NY 10034",1.0,0%,0%,Non-operational,,"46,000","35,334","10,666","6,566","2,274",5,"1,160",0,192,469,"16,440","1,698","1,459","1,792","1,653","1,517","3,071","2,350","1,956",484,460,"$50,721","$61,067",Temporary Full Closure,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Manhattan,Amsterdam Avenue,West 96th Street,West 106th Street,Columbus Amsterdam Business Improvement District,"743 Amsterdam Ave, New York, NY 10025",8.4,40%,40%,Active,"2,586.52","60,189","14,901","45,288","33,698","5,314",35,"4,123",0,313,"1,805","28,743","2,589","1,205","2,064","1,902","2,294","3,191","2,347","4,058","2,825","6,268","$86,999","$161,821",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,8:30 PM,U,
Manhattan,Ann Street,Broadway,Nassau Street,Alliance for Downtown New York,"15 Ann St, New York, NY 10038",7.0,0%,100%,Active,374.85,"43,877","3,071","40,806","25,872","1,696",80,"11,466",0,169,"1,523","19,526","1,074",650,"1,155",742,745,"1,404","1,462","3,013","2,414","6,867","$141,993","$203,772",Temporary Full Closure,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,ALL,
Manhattan,Avenue B,East 6th Street,East 14th Street,Loisaida Open Streets Community Coalition,"119 Avenue B, New York, NY 10009",6.5,17%,17%,Active,"2,014.05","60,365","12,701","47,664","32,897","4,560",38,"8,471",0,44,"1,654","31,584","3,383","2,208","2,798","1,864","2,279","3,862","3,234","5,401","2,167","4,388","$71,022","$100,144",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Manhattan,Bleecker Street,Mott Street,Bowery,Von Design Ltd.,"33 Bleecker St, New York, NY 10012",8.4,60%,100%,Active,399.87,"43,579","4,518","39,061","28,415","2,820",46,"6,452",0,98,"1,230","21,354","1,416",697,"1,263","1,190","1,612","2,899","1,747","3,158","2,011","5,361","$97,896","$175,232",Temporary Full Closure,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,"W,R,F,S,U",
Manhattan,Bond Street,Lafayette Street,Bowery,il Buco,"19 Bond St, New York, NY 10012",7.0,0%,100%,Active,599.53,"43,579","4,518","39,061","28,415","2,820",46,"6,452",0,98,"1,230","21,354","1,416",697,"1,263","1,190","1,612","2,899","1,747","3,158","2,011","5,361","$97,896","$175,232",Temporary Full Closure,4:30 PM,11:00 PM,4:30 PM,11:00 PM,4:30 PM,11:00 PM,4:30 PM,11:00 PM,4:30 PM,11:00 PM,10:00 AM,11:00 PM,11:30 AM,11:00 PM,"M,T,W,R,F,S,U",
Manhattan,Broadway,West 47th Street,West 53rd Street,Times Square Alliance,"1625 Broadway, New York, NY 10019",4.0,100%,100%,Active,505.00,"36,362","6,034","30,328","20,656","1,862",62,"6,334",60,387,967,"21,878","1,678",794,"1,793","1,389","1,325","2,051","2,224","3,127","2,384","5,113","$96,459","$154,036",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Manhattan,Broadway,West 42nd Street,West 41st Street,Times Square Alliance,"1407 Broadway, New York, NY 10018",1.5,100%,100%,Active,788.79,"9,326","1,220","8,106","4,787",684,0,"2,419",14,5,197,"5,981",542,467,463,266,411,385,444,925,603,"1,475","$100,694","$143,996",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Manhattan,Broadway,West 25th Street,West 29th Street,Flatiron 23rd Street Partnership,"1145 Broadway, New York, NY 10001",4.5,0%,0%,Non-operational,,"45,831","3,850","41,981","31,428","1,709",54,"7,647",0,292,851,"24,101","1,327",923,955,722,"1,101","2,060","1,915","3,503","2,618","8,977","$143,128","$229,305",Temporary Full Closure,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,ALL,
Manhattan,Broadway,West 29th Street,West 31st Street,Casa Nomad Restaurant and Akin Hospitality Group,"1221 Broadway, New York, NY 10001",1.0,0%,0%,Non-operational,,"45,831","3,850","41,981","31,428","1,709",54,"7,647",0,292,851,"24,101","1,327",923,955,722,"1,101","2,060","1,915","3,503","2,618","8,977","$143,128","$229,305",Temporary Full Closure,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,10:00 AM,11:00 PM,ALL,
Manhattan,Broadway,West 36th Street,West 41st Street,,"144 W 38th St, New York, NY 10018",1.0,0%,0%,Non-operational,,"9,326","1,220","8,106","4,787",684,0,"2,419",14,5,197,"5,981",542,467,463,266,411,385,444,925,603,"1,475","$100,694","$143,996",,,,,,,,,,,,,,,,,
Manhattan,Broadway,East 21st Street,East 23rd Street,Flatiron 23rd Street Partnership,"929 Broadway, New York, NY 10010",9.3,0%,0%,Non-operational,,"41,699","3,448","38,251","29,371","1,437",33,"6,531",0,138,741,"22,421","1,014",919,981,533,"1,003","2,164","1,647","3,152","2,591","8,417","$146,310","$234,449",Temporary Limited Local Access,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,ALL,
Manhattan,Broome Street,Forsyth Street,Eldridge Street,303 Canary LLC,"299 Broome St B, New York, NY 10002",4.0,100%,100%,Active,337.00,"35,730","5,034","30,696","12,000","1,018",170,"16,143",0,200,"1,165","16,304","1,662","1,432","1,663",947,"1,237","2,148","1,704","2,199","1,270","2,042","$64,096","$103,125",Temporary Full Closure,N/A,N/A,4:30 PM,12:00 AM,4:30 PM,12:00 AM,4:30 PM,12:00 AM,4:30 PM,12:00 AM,12:30 PM,12:00 AM,12:30 PM,12:00 AM,"T,R,W,F,S,U",
Manhattan,Broome Street,Allen Street,Ludlow Street,Lower East Side Partnership,"85 Orchard St, New York, NY 10002",4.5,100%,100%,Active,219.25,"35,730","5,034","30,696","12,000","1,018",170,"16,143",0,200,"1,165","16,304","1,662","1,432","1,663",947,"1,237","2,148","1,704","2,199","1,270","2,042","$64,096","$103,125",Temporary Limited Local Access,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,ALL,
Manhattan,Canal Street,Orchard Street,Essex Street,Cervo's,"59 Canal St, New York, NY 10002",7.0,100%,100%,Active,431.04,"53,677","6,877","46,800","10,997","2,021",409,"31,989",24,200,"1,160","22,416","2,702","2,853","3,228","1,882","1,891","2,661","1,818","2,499","1,099","1,783","$39,139","$76,880",Temporary Full Closure,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,12:00 PM,11:00 PM,10:00 AM,11:00 PM,ALL,Y
Manhattan,Christopher Street,Waverly Place,7 Avenue South,Kettle of Fish,"53 Christopher St, New York, NY 10014",8.3,100%,100%,Active,350.17,"35,163","2,148","33,015","28,510",646,0,"2,902",5,115,837,"19,865",743,345,"1,141",910,"1,529","1,810","2,014","3,239","2,191","5,943","$120,277","$192,518",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,"F,S,U",
Manhattan,Columbus Avenue,West 106th Street,West 110th Street,Columbus Amsterdam Business Improvement District,"940 Columbus Ave, New York, NY 10025",7.8,75%,75%,Active,977.61,"50,029","14,430","35,599","21,621","7,161",8,"5,311",14,83,"1,401","21,057","2,921","1,446","1,526","1,444","1,158","2,759","1,921","2,547","1,450","3,885","$69,208","$126,305",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,8:30 PM,11:00 AM,8:30 PM,"S,U",
Manhattan,Cornelia Street,Bleecker Street,West 4th Street,Palma,"254 Bleecker St, New York, NY 10014",4.0,0%,100%,Non-operational,,"32,267","2,067","30,200","26,138",586,0,"2,489",5,157,825,"18,406",649,348,977,798,"1,445","1,559","1,891","3,172","2,066","5,501","$120,984","$190,810",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,"F,S,U",
Manhattan,Dominick Street,Varick Street,Little 6th Avenue,Hudson Square Business Improvement District,"45 Dominick St, New York, NY 10013",8.0,0%,0%,Active,298.80,"20,556","1,228","19,328","16,088",595,0,"1,864",0,113,668,"10,349",469,215,372,468,643,858,916,"1,506",795,"4,107","$139,740","$301,018",Temporary Limited Local Access,11:00 AM,3:00 PM,11:00 AM,3:00 PM,11:00 AM,3:00 PM,11:00 AM,3:00 PM,11:00 AM,3:00 PM,11:00 AM,3:00 PM,11:00 AM,3:00 PM,ALL,Y
Manhattan,Doyers Street,Pell Street,Bowery,Chinatown Business Improvement District,"13 Doyers St, New York, NY 10013",7.7,100%,100%,Active,305.00,"40,140","4,165","35,975","7,284","1,948",147,"25,723",24,111,738,"15,749","1,537","1,844","2,506","1,485","1,467","1,855","1,370","1,462",748,"1,475","$38,717","$84,553",Temporary Limited Local Access,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,ALL,
Manhattan,Duane Street,Hudson Street,West Broadway,Khe-Yo,"165 Duane St, New York, NY 10013",7.0,100%,100%,Active,175.70,"23,410","1,337","22,073","17,726",497,0,"2,826",0,84,940,"10,026",268,191,284,341,316,482,711,"1,050",666,"5,717","200,000+","$370,934",Temporary Full Closure,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,ALL,
Manhattan,Dyckman Street,Broadway,Seaman Avenue,Sushi Vida,"211 Dyckman St, New York, NY 10040",8.5,100%,100%,Active,277.61,"41,928","32,040","9,888","6,490","1,605",0,"1,151",0,186,456,"14,862","1,285","1,238","1,524","1,438","1,429","2,828","2,283","1,908",484,445,"$53,852","$64,158",Temporary Full Closure,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,ALL,
Manhattan,East 101st Street,3rd Avenue,Park Avenue,Uptown Grand Central,"1810 3rd Ave, New York, NY 10029",8.7,67%,100%,Active,913.74,"47,662","16,551","31,111","17,030","6,667",43,"6,355",0,177,839,"20,582","2,437","1,784","1,739","1,559","1,713","2,654","2,044","2,034","1,457","3,161","$58,378","$118,629",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,4:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Manhattan,East 104th Street,Second Avenue,Third Avenue,Fresh Air Fund,"237 E 104th St, New York, NY 10029",8.0,0%,100%,Active,650.00,"45,611","24,238","21,373","5,413","11,216",43,"4,231",0,82,388,"18,989","2,645","2,481","2,576","1,954","2,326","2,600","2,102","1,243",612,450,"$34,173","$53,276",Temporary Full Closure,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W",
Manhattan,East 115th Street,Park Avenue,3rd Avenue,Concrete Safaris,"111 E 115th St, New York, NY 10029",1.0,0%,0%,Non-operational,,"55,426","26,138","29,288","5,624","19,009",55,"3,166",4,487,943,"21,347","3,477","2,586","2,985","2,016","2,407","2,560","1,729","1,754",852,981,"$32,975","$61,006",Temporary Limited Local Access,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Manhattan,East 16th Street,3rd Avenue,Rutherford Place,Stuyvesant Sq Park,"206 E 16th St, New York, NY 10003",2.3,33%,67%,Active,406.25,"59,229","5,267","53,962","41,342","2,038",251,"8,627",55,139,"1,510","28,993","1,890",858,"1,359","1,333","1,626","3,280","3,151","4,787","3,074","7,635","$108,329","$158,698",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Manhattan,East 18th Street,Park Avenue South,Irving Place,Gramercy Neighborhood Associates,"115 E 18th St (Between Park Ave &, Irving Pl, New York, NY 10003",7.0,33%,67%,Active,460.92,"44,323","3,280","41,043","31,197","1,825",257,"6,984",47,106,627,"20,970","1,075",622,"1,060",842,947,"2,076","1,913","3,223","2,315","6,897","$128,812","$207,338",Temporary Full Closure,3:00 PM,12:00 AM,3:00 PM,12:00 AM,3:00 PM,12:00 AM,3:00 PM,12:00 AM,3:00 PM,12:00 AM,10:00 AM,12:00 AM,10:00 AM,12:00 AM,ALL,
Manhattan,East 19th Street,Irving Place,Park Avenue South,Union Square Café,"77 Irving Pl, New York, NY 10003",8.3,100%,100%,Active,460.92,"39,361","2,851","36,510","27,524","1,603",257,"6,428",47,101,550,"18,796","1,026",607,"1,013",793,813,"1,812","1,761","3,012","2,090","5,869","$124,532","$198,577",Temporary Full Closure,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,ALL,
Manhattan,East 20th Street,Park Avenue,Broadway,Rezdora,"33 E 20th St, New York, NY 10003",5.5,50%,50%,Active,586.00,"28,266","2,034","26,232","19,841","1,016",33,"4,792",0,45,505,"14,528",666,445,737,385,625,"1,249","1,220","2,097","1,590","5,514","$146,172","$241,790",Temporary Full Closure,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,12:00 PM,11:00 PM,10:00 AM,11:00 PM,ALL,
Manhattan,East 28th Street,Madison Avenue,Park Avenue,The Churchill,"29 E 28th St, New York, NY 10016",9.0,100%,100%,Active,451.41,"28,610","1,953","26,657","18,968","1,009",6,"6,060",0,154,460,"15,237",939,486,653,553,815,"1,281","1,645","2,347","1,732","4,786","$125,369","$203,043",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,"F,S,U",Y
Manhattan,East 32nd Street,Broadway,Madison Avenue,Hangawi Restaurant,"17 W 32nd St, New York, NY 10001",7.8,83%,100%,Active,"1,309.00","35,789","2,166","33,623","23,999",786,31,"7,676",0,337,794,"19,952","1,267",672,869,655,880,"1,788","2,016","3,002","2,374","6,429","$131,920","$201,891",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,"F,S,U",
Manhattan,East 4th Street,Bowery,2nd Avenue,Fourth Arts Block (FABnyc),"361 Bowery, New York, NY 10003",2.0,0%,0%,Non-operational,,"39,169","4,237","34,932","24,987","2,692",46,"5,963",0,98,"1,146","18,778","1,219",636,"1,214","1,079","1,348","2,596","1,505","2,662","1,791","4,728","$96,545","$169,637",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,9:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,R,
Manhattan,East 6th Street,Bowery,2nd Avenue,,"202 E 6th St, New York, NY 10003",1.0,0%,0%,Non-operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
